time,load,temp
2012/1/4 6:00,3943,4.666666667
2012/1/4 7:00,4152,4.666666667
2012/1/4 8:00,4134,5
2012/1/4 9:00,4124,8
2012/1/4 10:00,4123,10.66666667
2012/1/4 11:00,4113,13.66666667
2012/1/4 12:00,4071,15.66666667
2012/1/4 13:00,4050,17.66666667
2012/1/4 14:00,4032,19.33333333
2012/1/4 15:00,4048,20
2012/1/4 16:00,4312,20
2012/1/4 17:00,4507,20
2012/1/4 18:00,4460,20
2012/1/4 19:00,4331,20.33333333
2012/1/4 20:00,4147,20.33333333
2012/1/4 21:00,3860,20.66666667
2012/1/4 22:00,3515,21.33333333
2012/1/4 23:00,3210,22
2012/1/5 0:00,3014,22.33333333
2012/1/5 1:00,2921,22.33333333
2012/1/5 2:00,2874,22
2012/1/5 3:00,2876,21.66666667
2012/1/5 4:00,2962,21.33333333
2012/1/5 5:00,3239,21.33333333
2012/1/5 6:00,3719,21.66666667
2012/1/5 7:00,3940,22.66666667
2012/1/5 8:00,3933,23
2012/1/5 9:00,3948,24
2012/1/5 10:00,3945,25.66666667
2012/1/5 11:00,3933,28
2012/1/5 12:00,3894,29.33333333
2012/1/5 13:00,3873,30.66666667
2012/1/5 14:00,3838,32
2012/1/5 15:00,3855,32
2012/1/5 16:00,4112,30.66666667
2012/1/5 17:00,4326,29
2012/1/5 18:00,4317,27
2012/1/5 19:00,4213,25
2012/1/5 20:00,4031,24
2012/1/5 21:00,3749,22.33333333
2012/1/5 22:00,3417,20
2012/1/5 23:00,3167,19
2012/1/6 0:00,2992,17
2012/1/6 1:00,2916,17
2012/1/6 2:00,2873,17.66666667
2012/1/6 3:00,2861,20
2012/1/6 4:00,2935,20
2012/1/6 5:00,3201,20.66666667
2012/1/6 6:00,3643,22
2012/1/6 7:00,3887,23.66666667
2012/1/6 8:00,3907,24
2012/1/6 9:00,3929,25.33333333
2012/1/6 10:00,3942,26
2012/1/6 11:00,3902,28
2012/1/6 12:00,3840,29.66666667
2012/1/6 13:00,3782,30
2012/1/6 14:00,3722,31.33333333
2012/1/6 15:00,3751,31.66666667
2012/1/6 16:00,3955,32
2012/1/6 17:00,4109,31
2012/1/6 18:00,4032,30
2012/1/6 19:00,3926,30.33333333
2012/1/6 20:00,3740,29.66666667
2012/1/6 21:00,3521,29.66666667
2012/1/6 22:00,3244,27.33333333
2012/1/6 23:00,2981,27.66666667
2012/1/7 0:00,2790,27.66666667
2012/1/7 1:00,2685,29
2012/1/7 2:00,2624,26
2012/1/7 3:00,2604,26.33333333
2012/1/7 4:00,2633,26.66666667
2012/1/7 5:00,2724,26.33333333
2012/1/7 6:00,2914,26
2012/1/7 7:00,3128,25.33333333
2012/1/7 8:00,3329,26.66666667
2012/1/7 9:00,3466,29.33333333
2012/1/7 10:00,3505,32
2012/1/7 11:00,3473,34.33333333
2012/1/7 12:00,3411,37.66666667
2012/1/7 13:00,3359,39.33333333
2012/1/7 14:00,3344,39.66666667
2012/1/7 15:00,3394,39
2012/1/7 16:00,3630,38.33333333
2012/1/7 17:00,3817,36.33333333
2012/1/7 18:00,3746,33.33333333
2012/1/7 19:00,3609,32.33333333
2012/1/7 20:00,3487,31
2012/1/7 21:00,3285,29.66666667
2012/1/7 22:00,3062,30
2012/1/7 23:00,2850,37.33333333
2012/1/8 0:00,2654,32.33333333
2012/1/8 1:00,2567,30.66666667
2012/1/8 2:00,2504,29.33333333
2012/1/8 3:00,2506,28.66666667
2012/1/8 4:00,2535,28.33333333
2012/1/8 5:00,2612,30
2012/1/8 6:00,2771,31.33333333
2012/1/8 7:00,2976,28
2012/1/8 8:00,3215,29.33333333
2012/1/8 9:00,3363,32.33333333
2012/1/8 10:00,3463,36
2012/1/8 11:00,3496,35
2012/1/8 12:00,3507,35.66666667
2012/1/8 13:00,3481,34
2012/1/8 14:00,3476,34
2012/1/8 15:00,3523,32.66666667
2012/1/8 16:00,3823,32.33333333
2012/1/8 17:00,4070,31
2012/1/8 18:00,4024,29
2012/1/8 19:00,3887,26.33333333
2012/1/8 20:00,3711,25.33333333
2012/1/8 21:00,3465,24.33333333
2012/1/8 22:00,3183,22.66666667
2012/1/8 23:00,2955,21.33333333
2012/1/9 0:00,2820,20.66666667
2012/1/9 1:00,2759,19.33333333
2012/1/9 2:00,2739,18.66666667
2012/1/9 3:00,2740,18.66666667
2012/1/9 4:00,2851,18
2012/1/9 5:00,3142,18
2012/1/9 6:00,3643,18.66666667
2012/1/9 7:00,3896,18
2012/1/9 8:00,3900,19.33333333
2012/1/9 9:00,3910,22.33333333
2012/1/9 10:00,3921,24.66666667
2012/1/9 11:00,3888,27
2012/1/9 12:00,3826,29.33333333
2012/1/9 13:00,3782,30
2012/1/9 14:00,3721,32.66666667
2012/1/9 15:00,3721,33.66666667
2012/1/9 16:00,3987,32.66666667
2012/1/9 17:00,4270,30.66666667
2012/1/9 18:00,4244,30.33333333
2012/1/9 19:00,4112,30.33333333
2012/1/9 20:00,3925,28.33333333
2012/1/9 21:00,3635,28
2012/1/9 22:00,3317,28.33333333
2012/1/9 23:00,3069,29
2012/1/10 0:00,2908,30
2012/1/10 1:00,2836,29.66666667
2012/1/10 2:00,2788,30
2012/1/10 3:00,2788,30.66666667
2012/1/10 4:00,2860,31.33333333
2012/1/10 5:00,3113,31.66666667
2012/1/10 6:00,3589,30.66666667
2012/1/10 7:00,3813,30
2012/1/10 8:00,3822,30.33333333
2012/1/10 9:00,3849,31.33333333
2012/1/10 10:00,3869,33
2012/1/10 11:00,3844,35.33333333
2012/1/10 12:00,3781,37
2012/1/10 13:00,3747,38.66666667
2012/1/10 14:00,3686,40
2012/1/10 15:00,3689,39.66666667
2012/1/10 16:00,3956,39
2012/1/10 17:00,4182,37.33333333
2012/1/10 18:00,4159,35.33333333
2012/1/10 19:00,4061,33
2012/1/10 20:00,3890,32
2012/1/10 21:00,3612,29.66666667
2012/1/10 22:00,3286,28.33333333
2012/1/10 23:00,3030,28.33333333
2012/1/11 0:00,2872,27.66666667
2012/1/11 1:00,2796,25.33333333
2012/1/11 2:00,2766,25.33333333
2012/1/11 3:00,2784,23.66666667
2012/1/11 4:00,2887,22.33333333
2012/1/11 5:00,3185,20.66666667
2012/1/11 6:00,3661,19.66666667
2012/1/11 7:00,3875,19
2012/1/11 8:00,3861,18.66666667
2012/1/11 9:00,3833,21
2012/1/11 10:00,3822,23.33333333
2012/1/11 11:00,3794,25.33333333
2012/1/11 12:00,3734,27
2012/1/11 13:00,3720,28.33333333
2012/1/11 14:00,3693,28.66666667
2012/1/11 15:00,3721,28.33333333
2012/1/11 16:00,3977,27.33333333
2012/1/11 17:00,4186,27.33333333
2012/1/11 18:00,4152,27
2012/1/11 19:00,4043,26.66666667
2012/1/11 20:00,3873,26.33333333
2012/1/11 21:00,3572,25.66666667
2012/1/11 22:00,3237,26.66666667
2012/1/11 23:00,2977,26.66666667
2012/1/12 0:00,2812,27.66666667
2012/1/12 1:00,2709,27
2012/1/12 2:00,2667,27.33333333
2012/1/12 3:00,2668,27.66666667
2012/1/12 4:00,2748,30.66666667
2012/1/12 5:00,3009,31.33333333
2012/1/12 6:00,3403,30.66666667
2012/1/12 7:00,3675,29.66666667
2012/1/12 8:00,3769,29
2012/1/12 9:00,3844,28
2012/1/12 10:00,3928,29
2012/1/12 11:00,3977,28.66666667
2012/1/12 12:00,3956,28
2012/1/12 13:00,3928,28.66666667
2012/1/12 14:00,3875,29.66666667
2012/1/12 15:00,3834,30.33333333
2012/1/12 16:00,4020,30.33333333
2012/1/12 17:00,4251,30.66666667
2012/1/12 18:00,4207,30
2012/1/12 19:00,4057,30
2012/1/12 20:00,3844,30.33333333
2012/1/12 21:00,3527,30.33333333
2012/1/12 22:00,3192,30
2012/1/12 23:00,2924,29.66666667
2012/1/13 0:00,2747,30
2012/1/13 1:00,2665,29.66666667
2012/1/13 2:00,2629,29.66666667
2012/1/13 3:00,2633,29.66666667
2012/1/13 4:00,2715,30
2012/1/13 5:00,2971,30
2012/1/13 6:00,3418,30
2012/1/13 7:00,3681,29.33333333
2012/1/13 8:00,3768,29.33333333
2012/1/13 9:00,3818,30.33333333
2012/1/13 10:00,3856,30.66666667
2012/1/13 11:00,3850,32.33333333
2012/1/13 12:00,3809,32.66666667
2012/1/13 13:00,3764,32
2012/1/13 14:00,3680,33.66666667
2012/1/13 15:00,3656,35
2012/1/13 16:00,3858,33.33333333
2012/1/13 17:00,4091,31.33333333
2012/1/13 18:00,4052,29.33333333
2012/1/13 19:00,3951,28.33333333
2012/1/13 20:00,3822,27.33333333
2012/1/13 21:00,3610,28
2012/1/13 22:00,3355,28
2012/1/13 23:00,3104,29
2012/1/14 0:00,2909,29
2012/1/14 1:00,2805,28.66666667
2012/1/14 2:00,2751,28
2012/1/14 3:00,2744,27.33333333
2012/1/14 4:00,2784,26.33333333
2012/1/14 5:00,2894,25.66666667
2012/1/14 6:00,3096,24.33333333
2012/1/14 7:00,3344,23
2012/1/14 8:00,3573,22.33333333
2012/1/14 9:00,3751,21.66666667
2012/1/14 10:00,3815,20.33333333
2012/1/14 11:00,3798,20
2012/1/14 12:00,3737,19.66666667
2012/1/14 13:00,3677,19
2012/1/14 14:00,3666,18.33333333
2012/1/14 15:00,3694,18
2012/1/14 16:00,3963,17
2012/1/14 17:00,4248,14
2012/1/14 18:00,4210,12
2012/1/14 19:00,4119,11
2012/1/14 20:00,3972,9.666666667
2012/1/14 21:00,3795,8.333333333
2012/1/14 22:00,3594,7.666666667
2012/1/14 23:00,3361,6
